#OTU ID	garden1	garden2	garden3	garden4	woods1	woods2	woods3	woods4
zotu1	301	0	0	0	0	0	0	0
zotu10	2	21	17	203	0	0	0	0
zotu100	2	0	2	0	75	47	29	69
zotu101	0	0	0	0	45	39	21	32
zotu102	0	0	0	0	65	33	23	39
zotu103	0	0	0	0	34	46	19	27
zotu104	0	0	0	0	5	24	6	18
zotu105	0	0	0	0	14	20	8	56
zotu106	0	0	0	0	84	78	35	87
zotu107	0	0	0	0	197	139	118	144
zotu108	44	12	3	8	1	2	1	0
zotu109	7	63	2	7	3	5	3	1
zotu11	0	159	0	5	0	0	0	0
zotu110	2	27	1	1	0	0	0	0
zotu111	1	38	1	2	0	0	0	0
zotu112	0	0	0	1	70	63	42	57
zotu113	1	0	0	1	37	47	23	23
zotu114	0	0	0	0	18	33	13	13
zotu115	0	0	0	0	21	22	28	14
zotu116	0	0	0	0	27	14	13	25
zotu117	0	0	0	0	27	30	15	36
zotu118	0	0	0	0	43	52	41	33
zotu119	3	0	0	0	45	30	11	27
zotu12	8	174	68	20	0	0	0	0
zotu120	0	0	0	0	39	31	24	14
zotu121	0	0	0	0	49	35	23	29
zotu122	0	0	0	0	1	25	5	5
zotu123	40	24	28	32	2	2	0	4
zotu124	39	41	26	27	0	0	0	0
zotu125	26	15	4	1	0	0	0	0
zotu126	1	21	5	1	0	0	0	0
zotu127	131	97	57	167	0	0	0	0
zotu128	1	27	2	2	0	1	0	0
zotu129	0	29	0	8	0	0	0	0
zotu13	0	148	0	2	0	0	0	0
zotu130	22	33	27	13	0	0	1	0
zotu131	11	27	5	4	0	0	0	0
zotu132	0	6	1	36	0	0	0	0
zotu133	27	26	44	43	0	0	0	1
zotu134	0	0	0	0	9	25	9	9
zotu135	103	98	80	109	84	96	37	90
zotu136	7	4	4	7	66	86	69	116
zotu137	0	0	0	0	46	41	25	39
zotu138	26	21	5	13	0	0	0	0
zotu139	100	61	28	57	0	0	0	0
zotu14	0	143	0	0	0	0	0	0
zotu140	1	37	1	25	0	0	0	1
zotu141	8	54	13	7	0	0	0	0
zotu142	15	73	2	12	0	0	0	0
zotu143	69	41	48	34	0	0	0	0
zotu144	0	23	4	4	0	0	0	0
zotu145	0	23	3	6	0	0	0	0
zotu146	50	104	46	24	83	68	43	68
zotu147	0	19	0	1	0	0	0	0
zotu148	13	30	7	2	0	0	0	0
zotu149	7	22	4	14	0	0	0	0
zotu15	0	123	0	1	0	0	0	0
zotu150	0	0	10	41	0	0	0	0
zotu151	0	0	0	0	21	11	5	11
zotu152	4	1	3	4	51	20	5	44
zotu153	1	0	5	3	39	29	11	26
zotu154	0	0	0	0	41	20	5	26
zotu155	2	0	1	1	35	33	51	58
zotu156	0	0	0	0	23	10	7	15
zotu157	0	0	0	0	36	39	18	38
zotu158	0	0	0	0	62	50	51	45
zotu159	0	0	0	0	25	12	7	8
zotu16	0	0	0	0	121	142	99	129
zotu160	0	0	0	0	24	23	14	16
zotu161	16	0	11	0	12	27	17	41
zotu162	54	1	40	14	68	67	63	105
zotu163	38	10	5	4	0	0	0	0
zotu164	19	15	13	4	0	0	0	0
zotu165	128	113	35	57	0	0	0	0
zotu166	32	26	10	23	0	0	1	0
zotu167	2	0	0	0	18	18	6	20
zotu168	3	0	1	3	31	18	6	23
zotu169	0	0	0	0	39	25	22	28
zotu17	0	0	0	0	122	99	36	108
zotu170	0	0	0	0	7	33	5	22
zotu171	0	0	1	0	6	13	11	27
zotu172	6	20	9	4	0	0	0	0
zotu173	5	47	7	20	0	0	0	0
zotu174	20	50	26	23	0	0	0	0
zotu175	1	39	11	31	0	0	0	0
zotu176	0	19	0	0	0	0	0	0
zotu177	2	49	1	25	0	0	0	0
zotu178	0	23	0	7	8	0	0	0
zotu179	1	59	10	29	0	0	1	0
zotu18	134	0	0	0	0	0	1	0
zotu180	13	47	17	21	0	0	0	0
zotu181	14	142	7	121	0	0	1	0
zotu182	19	0	27	4	0	0	0	0
zotu183	25	0	39	6	0	0	0	0
zotu184	4	4	20	2	0	0	0	0
zotu185	14	17	49	52	0	0	1	0
zotu186	4	7	7	13	0	0	0	0
zotu187	7	4	4	28	2	1	1	0
zotu188	1	0	1	33	0	0	0	0
zotu189	0	0	0	0	51	50	25	40
zotu19	0	88	0	7	0	0	0	0
zotu190	0	0	0	0	26	5	2	4
zotu191	0	0	0	0	52	63	28	57
zotu192	0	0	0	0	4	18	6	8
zotu193	0	0	0	0	12	16	16	23
zotu194	0	0	0	0	12	14	8	14
zotu195	1	5	6	1	14	7	2	20
zotu196	4	0	6	2	66	57	47	85
zotu197	0	0	0	0	42	35	22	55
zotu198	19	4	15	17	0	0	0	0
zotu199	15	0	5	6	0	0	0	0
zotu2	245	146	90	57	0	0	0	1
zotu20	0	0	0	0	102	74	91	47
zotu200	21	2	9	7	1	0	0	0
zotu201	17	0	0	0	0	0	0	0
zotu202	0	26	0	11	0	0	0	0
zotu203	23	58	12	16	7	11	3	7
zotu204	1	18	5	0	0	0	0	0
zotu205	12	46	5	1	11	13	5	11
zotu206	1	13	0	0	0	0	0	0
zotu207	0	23	0	0	0	0	0	0
zotu208	0	16	0	0	0	0	0	0
zotu209	1	31	3	7	0	0	0	0
zotu21	1	98	0	36	0	0	0	0
zotu210	0	21	3	12	0	0	0	0
zotu211	0	13	0	3	0	0	0	0
zotu212	79	69	28	23	0	0	0	0
zotu213	1	12	1	0	0	0	0	0
zotu214	2	20	2	6	0	0	0	0
zotu215	2	39	2	11	0	0	0	0
zotu216	0	17	0	0	0	0	0	0
zotu217	1	14	0	4	0	0	0	0
zotu218	18	10	30	6	5	1	2	2
zotu219	20	10	39	23	0	0	0	0
zotu22	1	80	5	26	0	0	0	0
zotu220	0	0	0	0	19	16	0	10
zotu221	0	0	0	0	27	13	8	9
zotu222	0	0	0	0	36	33	27	38
zotu223	0	0	0	0	66	69	55	93
zotu224	10	13	0	5	36	11	7	12
zotu225	0	0	0	0	22	9	5	4
zotu226	0	0	0	0	15	11	4	4
zotu227	0	0	0	0	28	21	21	32
zotu228	0	0	0	0	21	2	2	2
zotu229	0	1	0	0	41	14	7	18
zotu23	0	0	0	1	144	106	66	105
zotu230	0	0	0	0	21	6	3	10
zotu231	0	0	0	0	27	20	15	12
zotu232	0	0	0	0	51	28	15	42
zotu233	0	0	0	0	33	20	10	24
zotu234	0	0	0	0	3	16	4	7
zotu235	0	0	0	0	15	20	10	30
zotu236	0	0	0	0	45	33	12	45
zotu237	0	0	0	0	7	23	7	11
zotu238	0	0	0	0	7	14	13	29
zotu239	0	0	0	0	15	22	20	37
zotu24	85	0	0	0	0	0	0	0
zotu240	0	0	0	0	4	18	10	32
zotu241	3	0	2	5	46	63	37	103
zotu242	1	0	1	2	42	45	50	91
zotu243	32	0	1	0	0	0	1	0
zotu244	35	13	1	3	0	0	0	0
zotu245	64	35	65	34	0	0	0	1
zotu246	81	30	40	29	0	0	0	0
zotu247	40	43	34	33	0	0	0	0
zotu248	55	0	0	0	0	0	0	0
zotu249	30	41	22	13	1	0	0	0
zotu25	0	89	0	4	0	0	0	0
zotu250	24	19	19	9	0	0	0	0
zotu251	40	144	16	30	13	13	5	11
zotu252	0	16	0	0	0	0	0	0
zotu253	37	40	19	20	0	0	0	0
zotu254	1	17	2	3	0	1	1	0
zotu255	14	31	7	7	0	0	0	0
zotu256	0	17	0	0	0	0	0	0
